NAME,STATE,ANNUAL
Aratuba,CEARÁ,5629
Aracoiaba,CEARÁ,5443
Ipu,CEARÁ,5493
Santa Quitéria,CEARÁ,5635
Guaramiranga,CEARÁ,5438
Mulungu,CEARÁ,5438
Baturité,CEARÁ,5291
Barreira,CEARÁ,5526
Chorozinho,CEARÁ,5614
Carnaubal,CEARÁ,5616
Guaraciaba do Norte,CEARÁ,5491
Pires Ferreira,CEARÁ,5405
Varjota,CEARÁ,5604
Caridade,CEARÁ,5681
Pacoti,CEARÁ,5615
Acarape,CEARÁ,5410
Redenção,CEARÁ,5410
Pacajus,CEARÁ,5694
Beberibe,CEARÁ,5872
Reriutaba,CEARÁ,5554
Paramoti,CEARÁ,5610
Palmácia,CEARÁ,5590
Horizonte,CEARÁ,5719
Cascavel,CEARÁ,5863
São Benedito,CEARÁ,5418
Pacujá,CEARÁ,5408
Graça,CEARÁ,5408
Cariré,CEARÁ,5551
Tejuçuoca,CEARÁ,5593
General Sampaio,CEARÁ,5542
Pacatuba,CEARÁ,5433
Guaiúba,CEARÁ,5433
Itaitinga,CEARÁ,5586
Pindoretama,CEARÁ,5802
Ubajara,CEARÁ,5661
Ibiapina,CEARÁ,5324
Mucambo,CEARÁ,5434
Groaíras,CEARÁ,5530
Apuiarés,CEARÁ,5509
Maracanaú,CEARÁ,5448
Maranguape,CEARÁ,5448
Eusébio,CEARÁ,5730
Aquiraz,CEARÁ,5729
Frecheirinha,CEARÁ,5383
Forquilha,CEARÁ,5533
Pentecoste,CEARÁ,5608
Tianguá,CEARÁ,5479
Sobral,CEARÁ,5491
Irauçuba,CEARÁ,5554
Itapajé,CEARÁ,5416
Umirim,CEARÁ,5513
São Luís do Curu,CEARÁ,5554
Caucaia,CEARÁ,5701
Fortaleza,CEARÁ,5776
Viçosa do Ceará,CEARÁ,5487
Coreaú,CEARÁ,5470
Alcântaras,CEARÁ,5499
Miraíma,CEARÁ,5558
Uruburetama,CEARÁ,5353
Tururu,CEARÁ,5329
São Gonçalo do Amarante,CEARÁ,5766
Moraújo,CEARÁ,5552
